,,,,,,Fantasy,,Rank,Trends,Ret,Tackles,,,,,Misc,,Turnovers,,,TD
,Defensive Players,,Roster Status,GP*,Bye,Fan Pts ,O-Rank,Actual,% Rostered,TD,Tack Solo,Tack Ast,TFL,Sack,Safe,Pass Def,Blk Kick,Int,Fum Force,Fum Rec,TD
,No new player Notes Xavier McKinney NYG - S Sun 4:25 pm vs Den,,FA,17,10,150.72,1719,1719,11%,0,71.2,29.3,4.2,1,0,1,0,3.1,1,0,0
,No new player Notes Bradley Chubb Den - LB Sun 4:25 pm @NYG,,FA,17,11,149.07,1510,1510,10%,0,43.3,28.5,16.9,12.7,0,0,0,0,1.1,0,0
,Player Note Nick Bosa SF - DE Q Sun 1:00 pm @Det ,,FA,17,6,147.53,457,457,50%,0,43.1,13.3,18.8,13.3,0,0,0,0,2.2,0,0
,No new player Notes Terrell Edmunds Pit - S Sun 1:00 pm @Buf,,FA,17,7,147.26,1740,1740,6%,0,62.4,34.4,3.2,1.1,0,6.1,0,2.1,0,0,0
,No new player Notes Jordan Whitehead TB - S Thu 8:20 pm vs Dal,,FA,17,9,147.14,1777,1777,5%,0,64,27.9,1.2,1.2,0,6.6,0,2.3,0,0,0
,No new player Notes Harold Landry III Ten - LB Sun 1:00 pm vs Ari,,FA,17,13,145.88,1528,1528,6%,0,53.9,28.6,11,8.8,0,0,0,0,1.1,1.1,0
,No new player Notes Jonathan Allen Was - DT Sun 1:00 pm vs LAC,,FA,17,9,145.81,1299,1299,26%,0,47.2,28.3,25.2,8.4,0,0,0,0,0,1,0
,No new player Notes Za'Darius Smith GB - LB NFI-A Sun 4:25 pm @NO ,,FA,17,13,145.61,1577,1577,11%,0,42.2,17.3,17.3,13,0,0,0,0,2.2,0,0
,No new player Notes Josey Jewell Den - LB Q Sun 4:25 pm @NYG,,FA,17,11,145.38,1520,1520,5%,0,71.9,56,5.3,1.1,0,0,0,0,0,0,0
,No new player Notes J.J. Watt Ari - DE PUP-P Sun 1:00 pm @Ten,,FA,17,12,145.37,529,529,38%,0,47.4,23.1,23.1,8.8,0,0,0,0,2.2,0,0
,No new player Notes Eric Wilson Phi - LB Sun 1:00 pm @Atl ,,FA,17,14,145.29,1566,1566,18%,0,55.6,52.5,5.2,2.1,0,3.1,0,2.1,0,1,0
,No new player Notes Sam Hubbard Cin - DE Sun 1:00 pm vs Min,,FA,17,10,145.01,554,554,27%,0,50.9,33.3,18.7,7.3,0,0,0,0,1,1,0
,No new player Notes De'Vondre Campbell GB - LB Sun 4:25 pm @NO ,,FA,17,13,143.98,1498,1498,7%,0,74.7,40.1,5.4,1.1,0,0,0,0,1.1,0,0
,,,,,,Fantasy,,Rank,Trends,Ret,Tackles,,,,,Misc,,Turnovers,,,TD
,Defensive Players,,Roster Status,GP*,Bye,Fan Pts ,O-Rank,Actual,% Rostered,TD,Tack Solo,Tack Ast,TFL,Sack,Safe,Pass Def,Blk Kick,Int,Fum Force,Fum Rec,TD
,No new player Notes Jabrill Peppers NYG - S Sun 4:25 pm vs Den,,FA,17,10,143.9,1754,1754,23%,0,67,32.4,4.2,2.1,0,0,0,2.1,2.1,0,0
,No new player Notes DeShon Elliott Bal - S Q Mon 8:15 pm @LV ,,FA,17,8,143.63,1760,1760,3%,0,54.8,26.8,4.5,2.2,0,4.5,0,3.4,1.1,1.1,0
,No new player Notes Chris Jones KC - DT Sun 4:25 pm vs Cle,,FA,17,12,143.11,1301,1301,31%,0,39,17.7,18.9,13,0,0,0,0,2.4,0,0
,No new player Notes Taylor Rapp LAR - S Sun 8:20 pm vs Chi ,,FA,17,11,142.94,1735,1735,6%,0,64.2,35.4,2.2,0,0,5.2,0,2.2,0,0,0
,No new player Notes Mike Hilton Cin - CB Sun 1:00 pm vs Min,,FA,17,10,142.11,1217,1217,14%,0,56.1,14.6,5.2,2.3,0,7.3,0,2.1,1,1,0
,No new player Notes Jalen Thompson Ari - S Sun 1:00 pm @Ten,,FA,17,12,141.49,1730,1730,2%,0,72.7,17.6,1.1,0,0,3.1,0,2.2,1.1,0,0
,No new player Notes Lonnie Johnson Jr. Hou - CB Sun 1:00 pm vs Jax ,,FA,17,10,140.99,1222,1222,10%,0,68.5,32.2,4,0,0,1,0,3,0,0,0
,No new player Notes Cory Littleton LV - LB Mon 8:15 pm vs Bal ,,FA,17,8,140.07,1511,1511,8%,0,57.1,42,4.3,2.2,0,3.2,0,2.2,0,0,0
,No new player Notes Kyle Dugger NE - S Sun 4:25 pm vs Mia,,FA,17,14,139.22,1708,1708,4%,0,64.1,29.9,2.1,1.1,0,4,0,1.1,2.1,0,0
,No new player Notes Krys Barnes GB - LB Sun 4:25 pm @NO ,,FA,17,13,139.1,1431,1431,3%,0,65,35.7,7.6,1.1,0,2.2,0,1.1,0,0,0
,New Player Note Quinnen Williams NYJ - DT Q Sun 1:00 pm @Car,,FA,17,6,138.84,1323,1323,15%,0,38.1,29.8,20.6,8.2,0,3.1,0,0,2.1,0,0
,No new player Notes Ed Oliver Buf - DT Sun 1:00 pm vs Pit,,FA,17,7,138.7,1296,1296,18%,0,41.4,17.3,19.6,10.4,0,0,0,0,2.3,1.2,0
,No new player Notes Bobby Okereke Ind - LB Sun 1:00 pm vs Sea ,,FA,17,14,138.5,1811,1811,5%,0,78.2,38,2.2,0,0,0,0,0,0,0,0
,No new player Notes Alex Highsmith Pit - LB Sun 1:00 pm @Buf,,FA,17,7,138.16,1402,1402,4%,0,48.4,34.4,9.7,7.5,0,0,0,0,2.1,2.1,0
,No new player Notes Matt Judon NE - LB Sun 4:25 pm vs Mia,,FA,17,14,137.83,1480,1480,5%,0,47,21.4,13.9,8.5,0,0,0,0,3.2,1.1,0
,No new player Notes Jamie Collins Sr. Det - LB Sun 1:00 pm vs SF ,,FA,17,9,137.83,1493,1493,9%,0,58.7,41,5.1,4,0,0,0,0,3,1,0
,No new player Notes DeMarcus Lawrence Dal - DE Q Thu 8:20 pm @TB,,FA,17,7,137.29,463,463,25%,0,38.9,22.2,21.1,10,0,0,0,0,3.3,0,0
,No new player Notes Jamin Davis Was - LB Sun 1:00 pm vs LAC,,FA,17,9,137.24,1117,1117,13%,0,57.7,40.9,0,0,0,1,0,4.2,1,2.1,0
,No new player Notes Ronnie Harrison Jr. Cle - S Q Sun 4:25 pm @KC,,FA,17,13,137.03,1796,1796,2%,0,51,26.6,4.4,1.1,0,8.4,0,2.2,1.1,0,0
,No new player Notes Eric Rowe Mia - S Sun 4:25 pm @NE,,FA,17,14,135.41,1736,1736,4%,0,56.9,19.3,3.2,0,0,8.1,0,2.1,1.1,0,0
,No new player Notes Haason Reddick Car - LB Sun 1:00 pm vs NYJ,,FA,17,13,135.01,1526,1526,9%,0,42.4,15.9,14.8,10.6,0,0,0,0,3.2,0,0
,No new player Notes Cameron Heyward Pit - DT Sun 1:00 pm @Buf,,FA,17,7,134.93,1310,1310,22%,0,39.8,30.1,21.5,8.6,0,0,0,0,1.1,1.1,0
,No new player Notes Carlos Dunlap II Sea - DE Sun 1:00 pm @Ind ,,FA,17,9,134.62,520,520,16%,0,40.7,13.2,18.7,11,0,0,0,0,2.2,0,0
,No new player Notes Cameron Jordan NO - DE Sun 4:25 pm vs GB ,,FA,17,6,133.87,410,410,38%,0,41.9,20.9,20.9,8.8,0,0,0,0,1.1,1.1,0
,No new player Notes Montez Sweat Was - DE Q Sun 1:00 pm vs LAC,,FA,17,9,133.23,582,582,28%,0,35.7,16.8,16.8,12.6,0,0,0,0,1,1,0
,,,,,,Fantasy,,Rank,Trends,Ret,Tackles,,,,,Misc,,Turnovers,,,TD
,Defensive Players,,Roster Status,GP*,Bye,Fan Pts ,O-Rank,Actual,% Rostered,TD,Tack Solo,Tack Ast,TFL,Sack,Safe,Pass Def,Blk Kick,Int,Fum Force,Fum Rec,TD
,Player Note Bud Dupree Ten - LB Sun 1:00 pm vs Ari,,FA,17,13,132.67,1591,1591,6%,0,44,14.3,15.4,8.8,0,0,0,0,3.3,1.1,0
,No new player Notes Chase Winovich NE - DE Q Sun 4:25 pm vs Mia,,FA,17,14,131.97,567,567,9%,0,45.9,17.1,18.2,6.4,0,2.1,0,0,1.1,1.1,0
,No new player Notes Rashan Gary GB - LB Sun 4:25 pm @NO ,,FA,17,13,131,1546,1546,3%,0,33.6,31.4,15.2,11.9,0,0,0,0,1.1,0,0
,No new player Notes J.C. Jackson NE - CB Sun 4:25 pm vs Mia,,FA,17,14,130.9,1195,1195,12%,0,32.1,7.5,0,0,0,16,0,5.3,1.1,1.1,0
,No new player Notes Chuck Clark Bal - S Mon 8:15 pm @LV ,,FA,17,8,130.78,1728,1728,10%,0,62.6,38,3.4,1.1,0,0,0,1.1,1.1,1.1,0
,No new player Notes Matt Ioannidis Was - DT Sun 1:00 pm vs LAC,,FA,17,9,130.08,1306,1306,7%,0,42,21,23.1,8.4,0,0,0,0,0,0,0
,"No new player Notes Melvin Ingram III Pit - LB,DE Sun 1:00 pm @Buf",,FA,17,7,129.56,1365,1365,11%,0,46.2,12.9,19.4,7.5,0,0,0,0,2.1,0,0
,No new player Notes Anthony Barr Min - LB Sun 1:00 pm @Cin,,FA,17,7,128.32,1374,1374,3%,0,57.1,29.1,6.5,4.3,0,0,0,0,1.1,1.1,0
,No new player Notes Kenny Clark GB - DT Sun 4:25 pm @NO ,,FA,17,13,127.74,1277,1277,11%,0,40.1,22.7,19.5,8.7,0,0,0,0,0,1.1,0
,No new player Notes Nick Kwiatkoski LV - LB Mon 8:15 pm vs Bal ,,FA,17,8,126.81,1579,1579,6%,0,64.1,35.2,4.4,2.2,0,0,0,0,0,0,0
,No new player Notes Kyle Van Noy NE - LB Sun 4:25 pm vs Mia,,FA,17,14,126.62,1457,1457,5%,0,47,24.6,10.7,5.3,0,1.1,0,0,2.1,2.1,0
